IDE,Text,kategori
17,milik rekening giro suntrust bank sejak xx  xx  xxxx milik setor langsung masuk akun bulan orang xxxx milik properti sewa xxxx sewa xxxx bayar sewa wesel lain bayar cek orang akun suntrust-nya xxxx xxxx setor wesel  75000 beri sewa xxxx hari ikut setor sewa  50000 cek pribadi setor xxxx muncul saldo buku besar akun xxxx  xxxx  xx  xx  xxxx sewa beri cek suntrust besar 50000 henti bayar xxxx setor suatu alas suntrust kemudian tahan wesel  75000 xxxx beri tahu verifikasi wesel sebut milik salin wesel telepon xxxx xxxx diberitahu bayar xxxx telepon suntrust xxxx lepas tangguh kemudian beri tahu akun tutup aktivitas curiga unjung cabang suntrust beri tahu bayar henti tempat cek sewa  50000 beri sewa dorong akun tutup diberitahu cek cek bagus blokir akses akun online minggu batas waktu pajak xxxx sebab sakit kepala besar bayar tagih online xxxx puluh hari bulan bayar kembali biaya lambat terap alas sah wesel bayar tahan waktu suntrust diberitahu ulang kali rhat terima surat lalu pos jelas suntrust tutup akun surat datang xxxx nyata akun tutup aktivitas tipu sesuai atur atur bank putus permanen terima sisa dana akun lalu pos waktu 3 hari surat tanggal xxxxxxxxxxxx2015 informasi minta maaf beri suntrust tempat krisis uang minggu kartu debit  atm uang tunai tagih bayar kreditor telepon ambil tindak sewa tepat waktu pajak hasil selesai jawab semua jadi,Fraud
18,pergi agen tani negara laku beberapa bisnis ada sana putus buka rekening bank tinggal kantor agen yakin semua selesai tunggu kartu debit slip setor slip tari terima informasi lalu surat akun buka telepon bank tani negara diberitahu rekening buka rekening sama tanya rekening buka jawab wanita muda buka akun tahu aplikasi baru sedang laku beri tahu perlu kirim informasi verifikasi tanya kepada bisa kirim email informasi kepada gilir kata perlu kirim lalu faks kata kepada bawa xxxx sama lihat bank kirim faks kepada informasi milik akses mesin faks kirim faks informasi state farm xxxx xxxx 2015 uang transfer bank state farm rekening xxxx xxxx xxxx hubung state farm bank minta uang masuk rekening dapat kesan rekening buka upaya uang kirim akun hari diberitahu laku terima verifikasi alamat sekali kata milik akses mesin faks pindai kirim email informasi butuh supervisor gilir telepon kata terima lalu email pergi kantor tani negara kirim sekali tanya bagaimana usul pergi kantor agen kendara rusak beri tahu curi uang ingin segera tanya  kirim verifikasi akun pertama buka akun dua,Fraud
19,aktif iring coboy jr - hebat tekan 8087 info 100111 hits baru noah - engkau aktif iring hp kamu ketik mg noah02 kirim 808 info 100111 berkah iring rp 1000 dr yuni shara - akhir aktif iring,Spam
20,ambil bonus hari 600 bebas pulsa dptkan gratis nelpon internetan promo lain sesuai hobi,Spam
21,xxxx xxxx milik xxxx biaya tipu debit periksa acount xxxx jatuh  xxxx tetap isi formulir hari diberitahu 7 hari kembali xxxx xxxx biaya tetap 10 hari uang kembali kemudian diberitahu tipu luar negeri formulir internasional aju laku cepat xxxx xxxx bank tuduh guna situs belum kasus tutup  layan kencan xxxx hampir xxxx tahun  pernah laku rep xxxx keri meski xxxx xxxx urung beri waktu keri kemudian jangkau cabang fri xxxx bicara manajer xxxx xxxx xxxx kembali uang xxxx akun xxxx periksa ulang mulai hari xxxx kembali,Fraud
22,xxxx xxxx wells fargo izin tagih sah keluar rekening giro kami xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx telepon wells fargo segera panggil nomor xxxx cantum atas nyata layan pinjam biaya xxxx xxxx - xxxx xxxx xxxx xxxx teliti biaya sebut temu tagih sebut lalu ach rupa bayar langgan xxxx xxxx xxxx milik nomor rekening bank sama nomor rute beda laku laku panggil konferensi tiga arah wells fargo xxxx xxxx jelas masalah pagi sama temu - xxxx xxxx xxxx xxxx xxxx jelas wells fargo beban akun jelas wells fargo tolak bahkan beri kredit jumlah besar uang izin tarik akun xxxx hari kemudian telepon hampir hari kembali uang bantu dapat uang ngomong-ngomong milik akun wells fargo lebih 15 tahun,Fraud
23,buka akun xxxx xxxx alami tipu membantahnyamereka bilang masalah buka akun barurupanya kemudian putus baru buka segeradan tutup tahu sayamereka aju kartu kredit mengizinkanatau memintasaya kemudian pergi bank buka akundan diberitahu xxxx lapor periksa sistemuntuk duga tipu coba baik 5 tahun sekarang dapat akun mana,Fraud
24,langgan paket rp 10000 utk 150 mb 2g3g  250 mb 3g90hari tuju balas flash spasiya kirim 3636 utk lanjut paket panjang akhir masa aktif tarif sesuai lokasi tunggu sms konfirmasi sblm pakai info zona detail tarif lihat tselmeinternet,Fraud
25,beli paket gampang internetan rp1250 utk chatting puas bbm whatsapp line1 harijika tuju balas flash spasiya kirim 3636 utk melanjutkantunggu sms konfirmasi sblm pemakaianinfo detail tariff lihat tselmeinternet,Spam
26,terima setting ponsel ponsel akses internet kirim fotomms tuju balas pesan gratis ketik y,Spam
27,aktif paket bbm gratis laku 30 hari pertama kali aktivasi ketik flash spasi lanjut,Spam
28,dapat 1 kupon program kartu as biber beli internet hadiah cek total kupon maksimal 1x24 jam skrg 100123 info lengkap hub 188,Spam
29,sedang nikmat paket reguler dgn sisa kuota 209715 kbdapatkan agam paket internet hemat tri 1233,Spam
30,daftar layan paket malam hari langgan laku isi ulang voucher kenyang download,Spam
31,tlh tukar poin 95 poin tukar terus poin siapa tahu menang hadih lg g3 32gb menang tukar poin tinggi sd 30 november 15,Spam
32,angpaopoinsenyum dptkan vchr lottemart 50rb dg tukar 2500poin normal 5000poin sd 11feb16 ketik 123788725 batas info wwwindosatooredoocomangpao,Spam
33,awal bulan eks lebih lama internetan pake volume ultima 900mb30hr hrga mulai rp 35rb 100471 tariflokasi cek tselmefl,Spam
34,ayam sayappaha bawah nasi perkedel rp 19545 gratis teh pucuk tukar sms cfc hasan sadikin hari sedia msh promo 606,Spam
35,ayo anak medan beli sticker line pulsa cara klik http wwwtelkomselcomlinestore nama stickernya  dan medan,Spam
36,ayo download axisnet appleplay store aktif bronet24jam 5gb 60hr rp44900 bronet24jam 1gb 30hr obor 5gb 00-06 rp18800 info838 ld335,Spam
37,ayo download axisnet playapple store aktif bronet24jam 5gb 60hr rp44900 bronet24jam 3gb 60hr obor 10gb 00-06 rp39800 info838 ld307,Spam
38,ayo dukung lestari alam indonesia sama indosat ooredoo wwf-indonesia dg donasi lalu 12350 nomor indosat ooredoo,Spam
39,ayo kawal manfaat subsidi bbm  kompensasi hak adu ketik bbm spasi isi pesan kirim 1708,Spam
40,banting harga  internetan dgn kuota 15gb 10rb rupiah paket laku bulan mau ketik 919 sd 16 desember 2015,Spam
41,bebas ekspresi diri sama paket freedom combo indosat ooredoo segera hub 123 wwwindosatooredoocomfreedom,Spam
42,bebas pulsa ambil bonus 600 gratis dptkan gratis nelpon internetas promo lain sesuai hobi,Spam
43,beli 1 gratis 1 lychee tea latte flavour yellow truck jlpatuha no29 tukar sms laku hari sk berlakupromo 606,Spam
44,beli 2 gratis 1 beli 1 diskon 25 tiket kampung gajah wonderland bandung sd 31 mei 2013 tunjuk sms kpd tugas info wwwindosatcomkampunggajah,Spam
45,beli 6 gratis 6 donut dunkin donuts borma setiabudhi tukar sms segera laku hari sedia promo 606,Spam
46,beli paket turbo mulai 50rb utk beli pertama mytelkomsel app sjk 25aug - 25sept dpt extra pulsa tsel rp 50rb loh cek detail paket tselmemytsel1,Spam
47,internetan 15gb cuma 20rb paket laku 90 hari mau ketik 919 tawar laku sd 8 januari 2016,Spam
48,bonus kuota 500mb 1hr cukup isi ulang min 5000 hari ayo buru isi pulsa sekarang t514,Spam
49,bonus pulsa 10rb ayo isi pulsa min 5rb  dapetkan bonus pulsa 10rb utk nelp nmr tri hari ayo buru isi pulsa t530,Spam
50,bonus pulsa 50 indosat ooredoo mau ketik 345 call hp kamu 28 april 2016,Spam
51,bonus pulsa 50rb cuma dgn isi ulang 25rb hny indosat yg begini tawar laku sd 11 april 2016 bonus 1x utk guna sama indosat ooredoo,Spam
52,bonus pulsa rp 100 rb spesial kamu langgan setia indosat ooredohanya isi ulang rp150rb skrg tawar laku sd 13 jan 2016 bonus 1x,Spam
53,bonus rp 5000 kamu cukup kirim sms 2x hari dapat bonus khusus hari  t483,Spam
54,bonus rp 5000 kamu cukup telpon teman kamu 2 menit hari dapat bonus khusus hari  a010,Spam
55,bukti hemat pakai argo tetap bandung grabcar hingga 20 hayu aja rencang sareng buktikeun nyalira,Spam
56,buru download  registrasi mycare http bitlymycareply dapat promo 10gb 4g paket freedoom m  l harga khusus hari,Spam
57,butuh piknikada nih libur gratis hongkongcara pake pulsa axis hp androidmu buat transaksi sebanyak2nya items pokemon gobigococ dllinfo838 ld328,Spam
58,buy 2 get 3 tiket trans studio bandungmulai 14 mei-14juni 2013tunjukkan sms tugas lokasi info wwwindosatcomtransstudiobgd,Spam
59,cuma rp 7500 nelpon sms unlimited sama indosat ooredoo  internetan puas 3 hari paket ramadhan unlimited ketik 12388,Spam
60,dapat bonus pulsa hg 50rb isi ulang hari minggu isi ulang mulai dr 10rb ktk gratis krm 123 pandu ketik pan krm ke123 cek bonus tekan5553,Spam
61,dapat bonus sms kamu dg kirim sms kamu bonus ratus sms semua operator pakai terus indosat ooredoo  raih bebas komunikasi,Spam
62,dapat disc 20 mcdonalds khusus utk bayar dgn tcash tapdptkan stiker tcash tap grapari dekat info tselmetappromo,Spam
63,dapat disc30 utk dominos pan pizzaroti yg lebih tebal dgn keju asa pinggirmulai rp45500kunjungi toko terdekattelf 1500366klik panpizzacoid,Spam
64,dapat extra kuota 2gb 4g lte extra nelpon hingga 100mnt1hr dg beli paket flash mulai 1gb my telkomsel app buru cek  tselmemytsel1 sk,Spam
65,dapat gratis 1 cappuccino hotice  freza transaksi min rp75rb excelso cafe semarang yogya solo sd 9 agust 13 tunjuk sms kpd tugas,Spam
66,dapat gratis wendy s crispy chicken sandwich minimal beli rp100000 tukar sms wendy s dekat sedia batas promo 606,Spam
67,dapat saldo main besar rp 125rb bayar rp 75rb laku hari senin-kamis tukar sms segera timezone dekat promo 606,Spam
68,dapat voucher cipika rp 100rb utk belanja kuliner gadget fashion tkn 12345 pilih cipika gratis  batas info wwwindosatooredoocom12345,Spam
69,dear customer kindly values your experience at telkomsel service score between 1very poor to 5 excellent send sms to 1166 free for int l charged,Spam
70,disc25  domino s pizza value range sd 14 agustuskunjungi store terdekathubungi 1500366visit http bitly294koz6 kode vr25d,Spam
71,diskon 30ribu khusus langgan baru grab bandung laku 3x kode promo urangbandung tak usah repot jalan macet susah parkir hayu ngegrab we atuh,Spam
72,diskon 50 kuota nelpon 20 menit smua operator cuma rp7rb normal rp14rb dg masa aktif panjang balas sms dgn ketik tri hari v712,Spam
73,diskon 50 utk kacamata lengkap  bonus kacamata hitam tunjuk sms jl gatot soebroto 88 t7333812 samp k berlakupromo606,Spam
74,domino s pan pizzarotinya lebih tebal dgn keju asa pinggir nikmat disc30 mulai rp45500kunjungi toko terdekattelf 1500366klik panpizzacoid,Spam
75,double kuota internet plus unlimited telpon sms paket freedom combo indosat ooredoo segera hub 123 wwwindosatooredoocomfreedom,Spam
76,download rasa seru game-game premium pilih 900,Spam
77,dptkn free member card larissa aesthetic center disc 15 high treatment  asuransi jiwa tiap isi ulang pulsa rp 100rb galeri indosat jateng diy sd 31des 13,Spam
78,dptkn sempat raih hadiah utama mobil alphard dg cara tukar 500 poin senyum dg 1 kupon undi sd tgl 20jun13ketik undi jmlh poin 7887rp25,Spam
79,dukung rehabilitasi  kembang potensi anak butuh khusus ypac jakarta bagi lalu sms donasi etik 12365,Spam
80,flash promo sd 9 agt ayo datang gallery smartfren dekat diskon 290rb dg tukar hp smartfrenmu andromax 4g lte 190 utk tukar dg mifi 4g lte,Spam
81,free doublescoop ice cream  disc 10 haagen-dasz tcash tap sk laku info tselmetappromo,Spam
82,gratis 10gb yg blm ganti kartu sim sim 4g tukar skrg gerai indosatooredoo dekat nikmat gratis 10gb jaring 4g,Spam
83,gratis nelpon semua operator cukup beli internet hari 100mb harga rp1500 balas sms dgn ketik js utk beli n092,Spam
84,gratis whatsapp hari cukup beli internet hari 100mb harga rp1500 balas sms dgn ketik jr utk beli n091,Spam
85,guna grab nikmat 75 diskon 10x guna baru masuk kode cobagrabcar sekarang ajak teman keliling bandung tanp,Spam
86,guna grabcar grabtaxi  dapat diskon 35ribu stasiunbandara bandung masuk kode promo grabtravel hingga pakai 30 september 2016 hatur nuhun,Spam
87,guna tcash bayar tagih listrik beli token listrik cukup hubung 800 pilih menu bayar beli,Spam
88,hai apa kabar bonus riah cukup isi pulsa minimun rp 5 ribu sd 15 november kamu langsung dapat 300 mb gratis ayo isi pulsa bonus utk 3 hari rl044a,Spam
89,hallo bro beli koin games pakai pulsa yuk mudah banget loh sob cek http tselmejajanonline,Spam
90,hallo urang mang ado sticker rancak group line urang kampuang mang guy beli pake pulsa telkomsel,Spam
91,hari freedom combo xl cuma rp 89rb normal rp 149rb 20gb music streaming gak pake kuota unlimited nelpsms daftar 123,Spam
92,hari cuma ribu kamu langsung 200 mb 3 hari cukup balas sms ketik ya4 buru beli sekrang tl049b,Spam
93,hari freedom combo xl rp89rb normal rp149rb double kuota 5gb5gb4g promo 10gb4g unlimited nelp  sms indosat ooredoo ketik freedom xl 363,Spam
94,hari bronet 24jam 3gb 60hr rp31900 bronetspecial 6gb 60hr 3gb 24jam3gb 00-06 rp34900 123888 segera aktif paket sekarang info838 ld300,Spam
95,hari bronet special 4gb 2gb 24jam2gb 00-06 60hr rp24900 bronet 24jam 1gb 60hr rp10900 ayo segera aktif paket kamu 123888 info838 ld309,Spam
96,hari rabu saat blanja blanjacom  nikmat diskon spesial transaksi tcash sk laku klik bljcotcashrabu,Spam
97,hari senin saat nonton hemat 25ribu cema xxi dgn tcash tap dptkan stiker tcash tap grapari dekat info tselmetappromo,Spam
98,hari akhir kunjung galeri smartfren skrng buat kamu andromax a 4g jd 99rb nrml 649rb tunggu apa lagistok terbatassd 22agtskinfo888dl46j,Spam
99,hayu dateng mumpung ustad fatih karimbeliau yg islam ustad felix siaw,Spam
100,hi ayo coba grab mesan taxi cepat aman klik https invitegrabco37aa4d,Spam
101,hot promo dptkan extra pulsa tsel 50rb dg beli paket internet pertama kali my telkomsel app sjk 25 agsts - 25 sept cek detail paket tselmemytsel1,Spam
102,hot promo internetan kuota 12gb30hr rp 15ribu aja beli 363822 promo sd 30juni16 sk,Spam
103,i m spreading the go-jek love download the go-jek app at http go-jekcomapp and input this referral code 545075264 to get rp 50000 free credit to your first booking gojekgotmehere,Spam
104,ikut jobfairactive  ujiklyakankerjaberstifikat plasatelkommlg 9feb13 dptkan platihan intrviewrekom kerja ribu ph info wwwindogetjobcom085233334106,Spam
105,internetan puas kapan aja buat kamu butuh kuota besar paket sumo 30gb 30hari semua jaring beli 12333 info 123 d956,Spam
106,isi saldo tcashmu  lalu jaring atm sama  atm bca laku transfer antar bank pilih bank tcash kode bank 911 guna no hp sbg no rekening tuju,Spam
107,isi ulang kuota 3gb hasil kuota tlh tambah nikmat bonus nelpon semua tri rp10rb cek bonus 1112 bimatri,Spam
108,isi ulang rp500000 hasil kode transaksi 99100827288792 cek 123888 promo rabu rawit  jumat baik buat semua langgan axis,Spam
109,jalan ibadah haji dg nyaman tnpa prlu ganti kartu lokalnikmati gratis 2menithr trima telp dr indosatooredoointernet unlimited rp30rbhariinfo 1221 pai3,Spam
110,jangan kejar diskon lari beli rawit diskon datang sendiriayo isi ulang kartu axis kamu sekarangdan pasti besok ikut promo rabu rawitinfo838ld279,Spam
111,jangan lupa kirim 50 sms sd 16 juni 2013 utk mendptkan gratis 50 sms sesame indosat 2 hr laku 1x periode prog info 100 us6,Spam
112,jangan kalah bro games mu bantu tambah koin beli aja pakai pulsa cek cara http tselmejajanonline,Spam
113,jangan habis hari baskin robbins value scoop cuma 35000 lho tunjuk sms sk laku promo 606,Spam
114,jumat baik promo bronet 24jam 1gb 30hr rp10900 bronet 4gb 60hr 24jam 2gb  00-06 2gb rp24900 segera aktif paket lalu 123888info838ld268,Spam
115,kapan lg beli paket flash mulai 13gb mytelkomsel dpt extra pulsa rp 50rb utk beli pertama sjk 25aug - 25sept cek detail paket tselmemytsel1,Spam
116,kamu langgan setia kamu tukar hp smartfrenmu dg andromax e 4g lte hny 859rbnrml 999rb segera galeri smartfren,Spam
117,kartu 4g-lte aktif dapat kuota tambah sd 10gbkonten tarik jaring 4g hub 12346 info lokasi wwwindosatooredoocom4g,Spam
118,sempat langka cuma buat kamu loh dapat 1 gb cuma rp 5000 balas sms ketik y10 sd 15 november bonus laku 3 hari tl050d,Spam
119,ketik flash spasiinfo kirim 33636 utk status paket kamu loopers dptkan info tren anak muda challenge  beli paket loopcoid  followloopid,Spam
120,ketik 919 sd 14 maret 2016 cuma rp59rb per-bln lgs dptkan 1 1gb4gbonus 10gb4g utk internetan  telp  sms puas semua nomor,Spam
121,khusus buat kamu yg doyan internetan cukup 10rb k bs internetan slm 1 minggu kuota 15 gb buru ketik oke 919 pnwrn sd 30092015 khusus nomor,Spam
122,khusus buat kamu paket internet 10ribu dgn kuota 15gb 30hr laku 24jam jaring cepat indosat balas sms ketik 919 sd 22 mei 15,Spam
123,kocak abis mau liat aksi 8 pemuda galau iseng gokil kepung polisi super cantik tonton aja comic8 via hp kamu cmn 44003hr ketik film3 99677,Spam
124,koin tinggal dikit lanjutin gamesmu beli pakai pulsa aja bro cek http tselmejajanonline,Spam
125,kuota internet habis segera isi kuota 123 akses aplikasi bimatri gadget info 123,Spam
126,lebih hemat langgan paket data minggu cuma rp10900 cara gampang kok cukup ketik kuotaspasi10k krm sms 363,Spam
127,lebih hemat langgan paket internet minggu dgn kuota 250mb cuma rp 10000 cara gampang cukup ketik kuota spasi 10k 363,Spam
128,line lets get rich makin seru tambah koin pulsa mudah banget cara google play,Spam
129,loopers pakettelkomselflash rp50000 utk 600 mb  tambah 600 mb 3g  11 gb00-12berlaku 30 hari tlh aktif paket otomatis panjang pd akhir masa aktif kamu langgan paket,Spam
130,maaf kamu milik bonus kuota dapat bonus kuota hingga 2gb toko dekat laku jawa timur bal lombok,Spam
131,main terus games mu sekarang beli koin pakai pulsa cek cara http tselmejajanonline,Spam
132,main terus gamesmu  beli sebanyak2nya appsin-apps google play store,Spam
133,ingat warkop dki  dapat nsp gratis akses 600 dapat promo gratis lain sesuai hobi,Spam
134,mau bonus keren indosat ooredoo ketik 345 hp kamu sekarang,Spam
135,mau bonus pulsa 50 indosat ooredoo ketik 345 call hp kamu 31 mei 2016,Spam
136,mau cepat ga mau ribet cek pulsa  sisa kuota internetmu yuk download aplikasi mycare sekarang akses https mycareindosatooredoocom,Spam
137,mau cepat gift paketextra kuota internet  ga mau ribet isi ulang pulsa download aja aplikasi mycare smuanya jadi mudah install http bitlymycareply,Spam
138,mau download file besar putus tinggal 3 hari gatis mifimodem 4g spesial untuk bawa sms galeri sf  isi pulsa 100rb sana sd 13 jan dl 408,Spam
139,mau ekstra telpon sms internetan sk laku ikut surveu singkat aplikasi musik sd  3 september klik http tselmemulu,Spam
140,mau internetan kuota besar harga murah buru cek 345 tawar khusus nomor kamu  cuma laku 16 juli 2016,Spam
141,mau jajan gak usah mana sob jajan online aja utama buat kamu suka nge games cek http tselmejajanonline,Spam
142,mau paket data 15gb buat bulan cuma 20ribuan buru ketik mau 919 tawar laku sd 22-jul-16,Spam
143,mau paket data cuma 10ribuan buru cek 345 tawar laku 1 juli 2016,Spam
144,mau pergi hati aliando hp kamu ambil nsp gratis akses 600 dapat promo gratis lain sesuai hobi,Spam
145,merdeka hot sale 45 kuota 5gb 30harirp125rb cuma rp68rb tawar batas cek sekarang 1111 d966,Spam
146,migrasi kartu kartuhalo nomor tetap sama dapat paket spesial 4gb 25rbbulan kunjung grapari  tunjuk sms inipromo terbatasskb,Spam
147,murah seru banget main gamesmu pakai pulsa aja beli koin cek cara http tselmejajanonline,Spam
148,murah rp25rb dptkan 2gb paket internetan utk 30hr kini internetan jadi makin seru aktif segera 550904 promo sd 29feb16,Spam
149,naik lebih sering hemat lebih banyak sama grab  cukup laku 1 jalan biasa grabcar grabtaxi kamu otomatis dapat diskon jalan ikut nikmat diskon tahap hinga 35ributrip ayo coba bukti,Spam
150,nasabah yth rekening btpn wow aktif laku transaksi lalu 247 guna pin rahasia info hub 1500300,Spam
151,nelpon murah rp 2500panggilan mal sin thailand hk china  usa dgn tekan 01016kode negarano tuju info wwwindosatooredoocomflatcall2500,Spam
152,nikmat combo wendy s fried chicken nasi minum rp 19000 periode 13-19 juni 16tukarkan sms wendy s dekat sedia terbataspromo 606,Spam
153,nikmat disc40 utk dominos pizza premium big party weekendharga mulai rp48rbberlaku dine intake away sd 8 may 16kunjungi store terdekathubungi 1500366,Spam
154,nikmat discount 20 bakmi gm hari hny dgn tcash tap sk laku info tselmetappromo,Spam
155,nikmat diskon 25 tarif sli 008 semua negara mulai pukul 0000 sd 0600 wib sd 31agustus 13 info lengkap ketik 12254 wwwindosatcomiddpromo,Spam
156,nikmat diskon tarif indosat 01016  001 hingga 70 7 negara chn mlahkgsngtwnvtmmacau laku 07-28feb13 info  hub 100111 123,Spam
157,nikmat double internetan jaring data kuat 3gb 3gb 4g tlpsms puas dgn pkt freedom combo daftar 123 http mycareindosatooredoocom,Spam
158,nikmat double kuota promo 10gb4g jaring data kuat unlimited nelpsms 24jam dgn pkt freedom combo tekan 123 indosatooredoocomfreedom,Spam
159,nikmat ekstra pulsa 100 dgn isi ulang min 50rb aplikasi mytelkomsel guna t-cash download http tselme1 promo sd 11 agst 2016,Spam
160,nikmat ekstra pulsa 50 dgn isi ulang min 100rb aplikasi mytelkomsel guna kartu kredit visa download http tselme1 promo sd 11 agst 16,Spam
161,nikmat extra 2gb 4g lte  extra kuota hingga 1gb midnight dg beli pkt flash 1gb30hr mulai rp 43rb 36349 cek tarif tselmefl skb,Spam
162,nikmat extra 2gb 4g lte  extra voucher belanja hingga 100rb dg beli pkt flash 1gb30hr mulai rp 43rb 36349 cek tarif tselmefl skb,Spam
163,nikmat indosat super 3g utk internetan ckp 10rbminggu dpt kuota 225mb50mbbonus 175mb jam 00-06kecepatan hgg36mbpstekan 123411 syarat laku hub 100,Spam
164,nikmat mudah bayar iur bpjs dgn tcash cukup hubung 800 pilih menu bayar guna app t-wallet smartphone android iphone,Spam
165,nikmat nelpon sms unlimited sama indosat ooredoo internetan puas 3 hari paket freedom mini ketik 12388,Spam
