IDE;Text;kategori;;
27;Anda memenangkan tiket konser gratis. Klik di sini untuk informasi lebih lanjut.;Fraud;;
28;Pembayaran tagihan Anda tertunda. Klik di sini untuk melunasi tagihan.;Fraud;;
29;Anda menerima transfer uang. Masukkan detail rekening Anda untuk klaim.;Fraud;;
30;Selamat! Anda terpilih untuk menerima hadiah spesial. Klik di sini untuk klaim.;Fraud;;
31;Transaksi tidak sah terdeteksi di akun Anda. Segera verifikasi untuk mengamankan akun.;Fraud;;
32;Anda mendapatkan hadiah belanja senilai Rp500.000. Isi formulir ini untuk klaim.;Fraud;;
33;Kami dari layanan pelanggan XYZ, mohon verifikasi informasi akun Anda.;Fraud;;
34;Kartu kredit Anda telah diblokir. Klik di sini untuk membuka blokir.;Fraud;;
35;Anda menerima pembayaran sebesar Rp1.000.000. Masukkan informasi rekening Anda untuk klaim.;Fraud;;
36;Pembayaran Anda berhasil. Klik di sini untuk konfirmasi transaksi.;Fraud;;
37;Akun Facebook Anda terdeteksi aktivitas mencurigakan. Segera verifikasi identitas Anda.;Fraud;;
38;Anda memenangkan hadiah undian. Klik di sini untuk klaim.;Fraud;;
39;Kami membutuhkan verifikasi tambahan untuk akun Anda. Silakan kirimkan informasi Anda.;Fraud;;
40;Akun Anda akan dinonaktifkan. Verifikasi sekarang untuk menghindari penonaktifan.;Fraud;;
41;Selamat! Anda mendapatkan voucher belanja gratis. Klik di sini untuk klaim.;Fraud;;
42;Transaksi mencurigakan terdeteksi. Segera perbarui informasi akun Anda.;Fraud;;
43;Kami dari bank XYZ, mohon verifikasi detail akun Anda untuk keamanan.;Fraud;;
44;Anda menerima transfer sebesar Rp2.000.000. Klik di sini untuk klaim.;Fraud;;
45;Pembayaran Anda tertunda. Masukkan informasi pembayaran Anda untuk menyelesaikan transaksi.;Fraud;;
46;Akun Twitter Anda terdeteksi aktivitas mencurigakan. Segera verifikasi identitas Anda.;Fraud;;
47;Anda mendapatkan hadiah dari undian online. Klik di sini untuk klaim.;Fraud;;
48;Kami membutuhkan verifikasi tambahan untuk akun Anda. Kirimkan informasi Anda sekarang.;Fraud;;
49;Selamat! Anda memenangkan hadiah spesial. Klik di sini untuk klaim.;Fraud;;
50;Transaksi tidak sah terdeteksi di akun Anda. Segera verifikasi untuk mengamankan akun.;Fraud;;
51;Anda menerima bonus deposit. Masukkan informasi rekening Anda di sini.;Fraud;;
52;Kartu kredit Anda akan dinonaktifkan. Perbarui informasi Anda untuk menghindari masalah.;Fraud;;
53;Pembayaran Anda gagal. Masukkan ulang informasi pembayaran Anda di sini.;Fraud;;
54;Selamat! Anda mendapatkan hadiah undian. Klik di sini untuk klaim.;Fraud;;
55;Kami mendeteksi login mencurigakan di akun Anda. Segera verifikasi identitas Anda.;Fraud;;
56;Akun Instagram Anda telah dikunci. Klik di sini untuk membuka kunci.;Fraud;;
57;Anda memenangkan hadiah dari perusahaan ABC. Hubungi kami segera untuk klaim.;Fraud;;
58;Akun Anda hampir penuh. Klik di sini untuk meningkatkan kapasitas penyimpanan.;Fraud;;
59;Transaksi mencurigakan terdeteksi di akun PayPal Anda. Segera login untuk verifikasi.;Fraud;;
60;Anda menerima hadiah spesial dari Bank ABC. Klik di sini untuk klaim.;Fraud;;
61;Pengiriman paket Anda tertunda. Masukkan detail pengiriman Anda untuk memastikan pengiriman.;Fraud;;
62;Kartu debit Anda akan diblokir. Perbarui informasi Anda di sini.;Fraud;;
63;Pembayaran tagihan Anda tertunda. Klik di sini untuk melunasi tagihan.;Fraud;;
64;Anda menerima transfer uang. Masukkan detail rekening Anda untuk klaim.;Fraud;;
65;Selamat! Anda mendapatkan kupon belanja. Klik di sini untuk klaim.;Fraud;;
66;Transaksi tidak sah terdeteksi di akun Anda. Segera verifikasi untuk mengamankan akun.;Fraud;;
67;Anda menerima hadiah belanja. Isi formulir ini untuk klaim.;Fraud;;
68;Akun Anda akan diblokir. Verifikasi sekarang untuk menghindari pemblokiran.;Fraud;;
69;Kartu kredit Anda telah diblokir. Klik di sini untuk membuka blokir.;Fraud;;
70;Anda menerima pembayaran. Masukkan informasi rekening Anda untuk klaim.;Fraud;;
71;Pembayaran Anda berhasil. Klik di sini untuk konfirmasi.;Fraud;;
72;Akun Facebook Anda terdeteksi aktivitas mencurigakan. Segera verifikasi identitas Anda.;Fraud;;
73;Anda memenangkan hadiah undian. Klik di sini untuk klaim.;Fraud;;
74;Kami membutuhkan verifikasi tambahan. Silakan kirimkan informasi Anda.;Fraud;;
75;Akun Anda akan dinonaktifkan. Verifikasi sekarang untuk menghindari penonaktifan.;Fraud;;
76;Selamat! Anda mendapatkan voucher belanja. Klik di sini untuk klaim.;Fraud;;
77;Transaksi mencurigakan terdeteksi. Segera perbarui informasi akun Anda.;Fraud;;
78;Kami dari bank XYZ, mohon verifikasi detail akun Anda.;Fraud;;
79;Anda menerima transfer. Klik di sini untuk klaim.;Fraud;;
80;Pembayaran Anda tertunda. Masukkan informasi pembayaran Anda untuk menyelesaikan.;Fraud;;
81;Akun Twitter Anda terdeteksi aktivitas mencurigakan. Verifikasi identitas Anda.;Fraud;;
82;Anda mendapatkan hadiah dari undian online. Klik di sini untuk klaim.;Fraud;;
83;Verifikasi tambahan diperlukan untuk akun Anda. Kirimkan informasi Anda.;Fraud;;
84;Selamat! Anda memenangkan hadiah. Klik di sini untuk klaim.;Fraud;;
85;Transaksi tidak sah terdeteksi. Segera verifikasi untuk mengamankan akun.;Fraud;;
86;Anda menerima bonus deposit. Masukkan informasi rekening Anda.;Fraud;;
87;Kartu kredit Anda akan dinonaktifkan. Perbarui informasi Anda.;Fraud;;
88;Pembayaran Anda gagal. Masukkan ulang informasi pembayaran Anda.;Fraud;;
89;Selamat! Anda mendapatkan hadiah. Klik di sini untuk klaim.;Fraud;;
90;Login mencurigakan terdeteksi. Segera verifikasi identitas Anda.;Fraud;;
91;Akun Instagram Anda telah dikunci. Klik di sini untuk membuka kunci.;Fraud;;
92;Anda memenangkan hadiah dari perusahaan. Hubungi kami segera.;Fraud;;
93;Akun Anda hampir penuh. Klik di sini untuk meningkatkan kapasitas.;Fraud;;
94;Transaksi mencurigakan terdeteksi. Segera login untuk verifikasi.;Fraud;;
95;Anda menerima hadiah spesial. Klik di sini untuk klaim.;Fraud;;
96;Pengiriman paket Anda tertunda. Masukkan detail pengiriman Anda.;Fraud;;
97;Kartu debit Anda akan diblokir. Perbarui informasi Anda.;Fraud;;
98;Pembayaran tagihan Anda tertunda. Klik di sini untuk melunasi.;Fraud;;
99;Anda menerima transfer uang. Masukkan detail rekening Anda.;Fraud;;
100;Selamat! Anda mendapatkan kupon belanja. Klik di sini untuk klaim.;Fraud;;
101;Selamat! Anda telah dipilih sebagai pemenang undian spesial dari Perusahaan XYZ. Hadiah Anda adalah uang tunai senilai Rp15.000.000. Untuk mengklaim hadiah ini, harap klik tautan berikut dan masukkan informasi pribadi Anda. Jangan lewatkan kesempatan emas ini!;Fraud;;
102;Bank ABC memperbarui sistem keamanan kami. Untuk memastikan akun Anda tetap aman, kami memerlukan verifikasi ulang informasi pribadi Anda. Klik tautan berikut untuk memulai proses verifikasi. Jika tidak diverifikasi dalam 24 jam, akun Anda mungkin akan dibekukan.;Fraud;;
103;Selamat! Anda terpilih sebagai salah satu dari sedikit pemenang yang beruntung yang akan menerima hadiah uang tunai sebesar Rp25.000.000 dari undian PT XYZ. Segera hubungi nomor layanan pelanggan kami di 0800-123-456 untuk petunjuk lebih lanjut tentang cara mengklaim hadiah Anda.;Fraud;;
104;Kami mendeteksi adanya aktivitas yang tidak biasa pada akun PayPal Anda. Untuk melindungi akun Anda dari penyalahgunaan, kami membutuhkan Anda untuk memverifikasi identitas Anda. Silakan klik tautan ini dan ikuti petunjuk untuk menyelesaikan proses verifikasi.;Fraud;;
105;Pengiriman paket Anda dari toko online ABC mengalami masalah karena informasi pengiriman yang tidak lengkap. Untuk memastikan paket Anda dikirim tepat waktu, harap klik tautan berikut dan masukkan detail pengiriman yang diperlukan. Terima kasih atas kerjasamanya!;Fraud;;
106;Peringatan: Akun Anda telah terdeteksi melakukan aktivitas mencurigakan. Untuk melindungi akun Anda dari akses tidak sah, kami memerlukan Anda untuk memperbarui informasi login Anda. Klik tautan ini untuk masuk ke akun Anda dan memperbarui informasi yang diperlukan.;Fraud;;
107;Kartu kredit Anda akan segera kadaluarsa dan memerlukan pembaruan informasi untuk memastikan tetap aktif. Klik tautan berikut untuk memperbarui informasi kartu kredit Anda dan hindari gangguan dalam penggunaan layanan kami. Terima kasih atas perhatian Anda.;Fraud;;
108;Selamat! Anda mendapatkan kesempatan eksklusif untuk memenangkan iPhone terbaru. Untuk ikut serta dalam undian ini, harap isi formulir di tautan berikut dengan informasi pribadi Anda. Jangan lewatkan kesempatan luar biasa ini untuk memiliki gadget impian Anda!;Fraud;;
109;Kami dari layanan pelanggan XYZ ingin memberi tahu Anda bahwa akun email Anda hampir mencapai batas kapasitas. Untuk menghindari kehilangan pesan penting, harap klik tautan ini dan tingkatkan kapasitas penyimpanan akun email Anda secara gratis.;Fraud;;
110;Transaksi mencurigakan terdeteksi di akun bank Anda. Untuk melindungi dana Anda, kami membutuhkan Anda untuk segera memverifikasi aktivitas terbaru di akun Anda. Klik tautan berikut untuk masuk dan periksa riwayat transaksi Anda. Terima kasih atas perhatian Anda.;Fraud;;
111;Selamat! Anda terpilih untuk menerima voucher belanja senilai Rp1.500.000 dari Toko ABC. Untuk mengklaim voucher ini, harap klik tautan berikut dan masukkan informasi pribadi Anda. Voucher ini hanya berlaku selama 48 jam, jadi jangan lewatkan kesempatan ini!;Fraud;;
112;Kami dari Departemen Keamanan Bank XYZ mendeteksi adanya aktivitas tidak biasa di akun Anda. Untuk memastikan akun Anda tetap aman, harap segera klik tautan berikut dan lakukan verifikasi ulang informasi akun Anda. Terima kasih atas kerjasama Anda.;Fraud;;
113;Selamat! Anda telah memenangkan perjalanan gratis selama 5 hari ke Bali dari Undian Perusahaan ABC. Untuk mengklaim hadiah ini, harap hubungi layanan pelanggan kami di nomor 0800-123-789 atau klik tautan berikut untuk informasi lebih lanjut.;Fraud;;
114;Pembayaran tagihan Anda mengalami masalah dan tidak dapat diproses. Untuk menghindari denda keterlambatan, harap segera klik tautan berikut dan perbarui informasi pembayaran Anda. Terima kasih atas kerjasama Anda dalam menyelesaikan masalah ini.;Fraud;;
115;Kami mendeteksi adanya upaya login yang mencurigakan ke akun Anda dari lokasi yang tidak dikenal. Untuk melindungi akun Anda, harap segera klik tautan ini dan verifikasi identitas Anda. Jika tidak, akun Anda mungkin akan dibekukan sementara.;Fraud;;
116;Selamat! Anda terpilih untuk menerima bonus deposit sebesar Rp1.000.000 dari Bank XYZ. Untuk mengklaim bonus ini, harap klik tautan berikut dan masukkan informasi rekening Anda. Bonus ini hanya tersedia untuk waktu terbatas, jadi segera klaim sekarang!;Fraud;;
117;Kartu debit Anda telah terblokir karena aktivitas mencurigakan. Untuk membuka blokir kartu dan melanjutkan penggunaan, harap klik tautan berikut dan perbarui informasi akun Anda. Jika tidak diperbarui dalam 24 jam, kartu Anda akan dinonaktifkan permanen.;Fraud;;
118;Akun Instagram Anda telah terdeteksi aktivitas yang mencurigakan. Untuk melindungi akun Anda dari penyalahgunaan, harap segera klik tautan berikut dan verifikasi identitas Anda. Terima kasih atas perhatian Anda terhadap keamanan akun Anda.;Fraud;;
119;Anda telah dipilih untuk menerima hadiah spesial dari Bank ABC berupa uang tunai sebesar Rp5.000.000. Untuk mengklaim hadiah ini, harap hubungi layanan pelanggan kami di nomor 0800-123-456 atau klik tautan berikut untuk informasi lebih lanjut.;Fraud;;
120;Pembayaran tagihan Anda belum selesai diproses karena adanya kesalahan informasi. Untuk menghindari pemutusan layanan, harap klik tautan berikut dan perbarui informasi pembayaran Anda. Terima kasih atas perhatian Anda dalam menyelesaikan masalah ini.;Fraud;;
121;Kami mendeteksi adanya aktivitas tidak biasa di akun Twitter Anda. Untuk melindungi akun Anda dari penyalahgunaan, harap segera klik tautan berikut dan verifikasi identitas Anda. Jika tidak diverifikasi dalam 24 jam, akun Anda mungkin akan dibekukan.;Fraud;;
122;Selamat! Anda telah memenangkan hadiah undian spesial berupa voucher belanja senilai Rp2.000.000 dari Toko ABC. Untuk mengklaim voucher ini, harap klik tautan berikut dan masukkan informasi pribadi Anda. Voucher ini hanya berlaku selama 48 jam.;Fraud;;
123;Kami dari layanan pelanggan XYZ membutuhkan verifikasi tambahan untuk akun Anda. Harap klik tautan berikut dan lengkapi informasi yang diperlukan untuk memastikan akun Anda tetap aktif dan aman. Terima kasih atas kerjasama Anda.;Fraud;;
124;Selamat! Anda mendapatkan hadiah spesial berupa uang tunai sebesar Rp10.000.000 dari Undian PT XYZ. Untuk mengklaim hadiah ini, harap hubungi nomor layanan pelanggan kami di 0800-123-789 atau klik tautan berikut untuk informasi lebih lanjut.;Fraud;;
125;Transaksi mencurigakan terdeteksi di akun bank Anda. Untuk melindungi dana Anda, harap segera klik tautan berikut dan verifikasi aktivitas terbaru di akun Anda. Jika tidak diverifikasi, akun Anda mungkin akan dibekukan sementara.;Fraud;;
126;Anda menerima bonus deposit sebesar Rp500.000 dari Bank XYZ. Untuk mengklaim bonus ini, harap klik tautan berikut dan masukkan informasi rekening Anda. Bonus ini hanya tersedia untuk waktu terbatas, jadi segera klaim sekarang!;Fraud;;
127;Kartu kredit Anda akan segera kadaluarsa dan memerlukan pembaruan informasi untuk memastikan tetap aktif. Klik tautan berikut untuk memperbarui informasi kartu kredit Anda dan hindari gangguan dalam penggunaan layanan kami. Terima kasih atas perhatian Anda.;Fraud;;
128;Pembayaran tagihan Anda mengalami masalah dan tidak dapat diproses. Untuk menghindari denda keterlambatan, harap segera klik tautan berikut dan perbarui informasi pembayaran Anda. Terima kasih atas kerjasama Anda dalam menyelesaikan masalah ini.;Fraud;;
129;Selamat! Anda terpilih untuk menerima hadiah eksklusif berupa perjalanan gratis ke destinasi impian Anda. Untuk mengklaim hadiah ini, harap klik tautan berikut dan masukkan informasi pribadi Anda. Jangan lewatkan kesempatan luar biasa ini!;Fraud;;
130;Kami mendeteksi adanya upaya login yang mencurigakan ke akun Facebook Anda dari lokasi yang tidak dikenal. Untuk melindungi akun Anda, harap segera klik tautan ini dan verifikasi identitas Anda. Jika tidak, akun Anda mungkin akan dibekukan sementara.;Fraud;;
131;Selamat! Anda mendapatkan kesempatan eksklusif untuk memenangkan gadget terbaru dari undian PT XYZ. Untuk ikut serta dalam undian ini, harap isi formulir di tautan berikut dengan informasi pribadi Anda. Jangan lewatkan kesempatan ini!;Fraud;;
132;Akun email Anda hampir mencapai batas kapasitas. Untuk menghindari kehilangan pesan penting, harap klik tautan ini dan tingkatkan kapasitas penyimpanan akun email Anda secara gratis. Terima kasih atas perhatian Anda.;Fraud;;
133;Transaksi mencurigakan terdeteksi di akun bank Anda. Untuk melindungi dana Anda, kami membutuhkan Anda untuk segera memverifikasi aktivitas terbaru di akun Anda. Klik tautan berikut untuk masuk dan periksa riwayat transaksi Anda. Terima kasih.;Fraud;;
134;Selamat! Anda terpilih untuk menerima voucher belanja senilai Rp1.000.000 dari Toko ABC. Untuk mengklaim voucher ini, harap klik tautan berikut dan masukkan informasi pribadi Anda. Voucher ini hanya berlaku selama 48 jam, jadi jangan lewatkan kesempatan ini!;Fraud;;
135;Kami dari Departemen Keamanan Bank XYZ mendeteksi adanya aktivitas tidak biasa di akun Anda. Untuk memastikan akun Anda tetap aman, harap segera klik tautan berikut dan lakukan verifikasi ulang informasi akun Anda. Terima kasih atas kerjasama Anda.;Fraud;;
136;Selamat! Anda telah memenangkan perjalanan gratis selama 7 hari ke Bali dari Undian Perusahaan ABC. Untuk mengklaim hadiah ini, harap hubungi layanan pelanggan kami di nomor 0800-123-789 atau klik tautan berikut untuk informasi lebih lanjut.;Fraud;;
137;Pembayaran tagihan Anda mengalami masalah dan tidak dapat diproses. Untuk menghindari denda keterlambatan, harap segera klik tautan berikut dan perbarui informasi pembayaran Anda. Terima kasih atas kerjasama Anda dalam menyelesaikan masalah ini.;Fraud;;
138;Kami mendeteksi adanya upaya login yang mencurigakan ke akun Anda dari lokasi yang tidak dikenal. Untuk melindungi akun Anda, harap segera klik tautan ini dan verifikasi identitas Anda. Jika tidak, akun Anda mungkin akan dibekukan sementara.;Fraud;;
139;Selamat! Anda terpilih untuk menerima bonus deposit sebesar Rp2.000.000 dari Bank XYZ. Untuk mengklaim bonus ini, harap klik tautan berikut dan masukkan informasi rekening Anda. Bonus ini hanya tersedia untuk waktu terbatas, jadi segera klaim sekarang!;Fraud;;
140;Kartu debit Anda telah terblokir karena aktivitas mencurigakan. Untuk membuka blokir kartu dan melanjutkan penggunaan, harap klik tautan berikut dan perbarui informasi akun Anda. Jika tidak diperbarui dalam 24 jam, kartu Anda akan dinonaktifkan permanen.;Fraud;;
141;Akun Instagram Anda telah terdeteksi aktivitas yang mencurigakan. Untuk melindungi akun Anda dari penyalahgunaan, harap segera klik tautan berikut dan verifikasi identitas Anda. Terima kasih atas perhatian Anda terhadap keamanan akun Anda.;Fraud;;
142;Anda telah dipilih untuk menerima hadiah spesial dari Bank ABC berupa uang tunai sebesar Rp5.000.000. Untuk mengklaim hadiah ini, harap hubungi layanan pelanggan kami di nomor 0800-123-456 atau klik tautan berikut untuk informasi lebih lanjut.;Fraud;;
143;Pembayaran tagihan Anda belum selesai diproses karena adanya kesalahan informasi. Untuk menghindari pemutusan layanan, harap klik tautan berikut dan perbarui informasi pembayaran Anda. Terima kasih atas perhatian Anda dalam menyelesaikan masalah ini.;Fraud;;
144;Kami mendeteksi adanya aktivitas tidak biasa di akun Twitter Anda. Untuk melindungi akun Anda dari penyalahgunaan, harap segera klik tautan berikut dan verifikasi identitas Anda. Jika tidak diverifikasi dalam 24 jam, akun Anda mungkin akan dibekukan.;Fraud;;
145;Selamat! Anda telah memenangkan hadiah undian spesial berupa voucher belanja senilai Rp2.500.000 dari Toko ABC. Untuk mengklaim voucher ini, harap klik tautan berikut dan masukkan informasi pribadi Anda. Voucher ini hanya berlaku selama 48 jam.;Fraud;;
146;Kami dari layanan pelanggan XYZ membutuhkan verifikasi tambahan untuk akun Anda. Harap klik tautan berikut dan lengkapi informasi yang diperlukan untuk memastikan akun Anda tetap aktif dan aman. Terima kasih atas kerjasama Anda.;Fraud;;
147;Selamat! Anda mendapatkan hadiah spesial berupa uang tunai sebesar Rp15.000.000 dari Undian PT XYZ. Untuk mengklaim hadiah ini, harap hubungi nomor layanan pelanggan kami di 0800-123-789 atau klik tautan berikut untuk informasi lebih lanjut.;Fraud;;
148;Transaksi mencurigakan terdeteksi di akun bank Anda. Untuk melindungi dana Anda, harap segera klik tautan berikut dan verifikasi aktivitas terbaru di akun Anda. Jika tidak diverifikasi, akun Anda mungkin akan dibekukan sementara.;Fraud;;
149;Anda menerima bonus deposit sebesar Rp1.500.000 dari Bank XYZ. Untuk mengklaim bonus ini, harap klik tautan berikut dan masukkan informasi rekening Anda. Bonus ini hanya tersedia untuk waktu terbatas, jadi segera klaim sekarang!;Fraud;;
150;Kartu kredit Anda akan segera kadaluarsa dan memerlukan pembaruan informasi untuk memastikan tetap aktif. Klik tautan berikut untuk memperbarui informasi kartu kredit Anda dan hindari gangguan dalam penggunaan layanan kami. Terima kasih atas perhatian Anda.;Fraud;;
151;Pembayaran tagihan Anda mengalami masalah dan tidak dapat diproses. Untuk menghindari denda keterlambatan, harap segera klik tautan berikut dan perbarui informasi pembayaran Anda. Terima kasih atas kerjasama Anda dalam menyelesaikan masalah ini.;Fraud;;
152;Selamat! Anda terpilih untuk menerima hadiah eksklusif berupa perjalanan gratis ke destinasi impian Anda. Untuk mengklaim hadiah ini, harap klik tautan berikut dan masukkan informasi pribadi Anda. Jangan lewatkan kesempatan luar biasa ini!;Fraud;;
153;Kami mendeteksi adanya upaya login yang mencurigakan ke akun Facebook Anda dari lokasi yang tidak dikenal. Untuk melindungi akun Anda, harap segera klik tautan ini dan verifikasi identitas Anda. Jika tidak, akun Anda mungkin akan dibekukan sementara.;Fraud;;
154;Selamat! Anda mendapatkan kesempatan eksklusif untuk memenangkan gadget terbaru dari undian PT XYZ. Untuk ikut serta dalam undian ini, harap isi formulir di tautan berikut dengan informasi pribadi Anda. Jangan lewatkan kesempatan ini!;Fraud;;
155;Akun email Anda hampir mencapai batas kapasitas. Untuk menghindari kehilangan pesan penting, harap klik tautan ini dan tingkatkan kapasitas penyimpanan akun email Anda secara gratis. Terima kasih atas perhatian Anda.;Fraud;;
156;Transaksi mencurigakan terdeteksi di akun bank Anda. Untuk melindungi dana Anda, kami membutuhkan Anda untuk segera memverifikasi aktivitas terbaru di akun Anda. Klik tautan berikut untuk masuk dan periksa riwayat transaksi Anda. Terima kasih.;Fraud;;
157;Selamat! Anda terpilih untuk menerima voucher belanja senilai Rp2.000.000 dari Toko ABC. Untuk mengklaim voucher ini, harap klik tautan berikut dan masukkan informasi pribadi Anda. Voucher ini hanya berlaku selama 48 jam, jadi jangan lewatkan kesempatan ini!;Fraud;;
158;Kami dari Departemen Keamanan Bank XYZ mendeteksi adanya aktivitas tidak biasa di akun Anda. Untuk memastikan akun Anda tetap aman, harap segera klik tautan berikut dan lakukan verifikasi ulang informasi akun Anda. Terima kasih atas kerjasama Anda.;Fraud;;
159;Selamat! Anda telah memenangkan perjalanan gratis selama 7 hari ke Bali dari Undian Perusahaan ABC. Untuk mengklaim hadiah ini, harap hubungi layanan pelanggan kami di nomor 0800-123-789 atau klik tautan berikut untuk informasi lebih lanjut.;Fraud;;
160;Pembayaran tagihan Anda mengalami masalah dan tidak dapat diproses. Untuk menghindari denda keterlambatan, harap segera klik tautan berikut dan perbarui informasi pembayaran Anda. Terima kasih atas kerjasama Anda dalam menyelesaikan masalah ini.;Fraud;;
161;Kami mendeteksi adanya upaya login yang mencurigakan ke akun Anda dari lokasi yang tidak dikenal. Untuk melindungi akun Anda, harap segera klik tautan ini dan verifikasi identitas Anda. Jika tidak, akun Anda mungkin akan dibekukan sementara.;Fraud;;
162;Selamat! Anda terpilih untuk menerima bonus deposit sebesar Rp2.500.000 dari Bank XYZ. Untuk mengklaim bonus ini, harap klik tautan berikut dan masukkan informasi rekening Anda. Bonus ini hanya tersedia untuk waktu terbatas, jadi segera klaim sekarang!;Fraud;;
163;Kartu debit Anda telah terblokir karena aktivitas mencurigakan. Untuk membuka blokir kartu dan melanjutkan penggunaan, harap klik tautan berikut dan perbarui informasi akun Anda. Jika tidak diperbarui dalam 24 jam, kartu Anda akan dinonaktifkan permanen.;Fraud;;
164;Akun Instagram Anda telah terdeteksi aktivitas yang mencurigakan. Untuk melindungi akun Anda dari penyalahgunaan, harap segera klik tautan berikut dan verifikasi identitas Anda. Terima kasih atas perhatian Anda terhadap keamanan akun Anda.;Fraud;;
165;Anda telah dipilih untuk menerima hadiah spesial dari Bank ABC berupa uang tunai sebesar Rp7.500.000. Untuk mengklaim hadiah ini, harap hubungi layanan pelanggan kami di nomor 0800-123-456 atau klik tautan berikut untuk informasi lebih lanjut.;Fraud;;
166;Pembayaran tagihan Anda belum selesai diproses karena adanya kesalahan informasi. Untuk menghindari pemutusan layanan, harap klik tautan berikut dan perbarui informasi pembayaran Anda. Terima kasih atas perhatian Anda dalam menyelesaikan masalah ini.;Fraud;;
167;Kami mendeteksi adanya aktivitas tidak biasa di akun Twitter Anda. Untuk melindungi akun Anda dari penyalahgunaan, harap segera klik tautan berikut dan verifikasi identitas Anda. Jika tidak diverifikasi dalam 24 jam, akun Anda mungkin akan dibekukan.;Fraud;;
168;Selamat! Anda telah memenangkan hadiah undian spesial berupa voucher belanja senilai Rp3.000.000 dari Toko ABC. Untuk mengklaim voucher ini, harap klik tautan berikut dan masukkan informasi pribadi Anda. Voucher ini hanya berlaku selama 48 jam.;Fraud;;
169;Kami dari layanan pelanggan XYZ membutuhkan verifikasi tambahan untuk akun Anda. Harap klik tautan berikut dan lengkapi informasi yang diperlukan untuk memastikan akun Anda tetap aktif dan aman. Terima kasih atas kerjasama Anda.;Fraud;;
170;Selamat! Anda mendapatkan hadiah spesial berupa uang tunai sebesar Rp20.000.000 dari Undian PT XYZ. Untuk mengklaim hadiah ini, harap hubungi nomor layanan pelanggan kami di 0800-123-789 atau klik tautan berikut untuk informasi lebih lanjut.;Fraud;;
171;Transaksi mencurigakan terdeteksi di akun bank Anda. Untuk melindungi dana Anda, harap segera klik tautan berikut dan verifikasi aktivitas terbaru di akun Anda. Jika tidak diverifikasi, akun Anda mungkin akan dibekukan sementara.;Fraud;;
172;Anda menerima bonus deposit sebesar Rp2.000.000 dari Bank XYZ. Untuk mengklaim bonus ini, harap klik tautan berikut dan masukkan informasi rekening Anda. Bonus ini hanya tersedia untuk waktu terbatas, jadi segera klaim sekarang!;Fraud;;
