IDE;Text;Fraud;Spam;Normal
11;5 HARI LAGI ! EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug-25Sept. Cek detail promo di tsel.me/mytsel1;0;1;0
12;Saya membuka rekening di PNC Bank XXXX XXXX, 2015. Saya menerima dokumen yang menunjukkan nomor Perutean XXXX, setoran {$25,00} ke Akun Dompet Virtual dan nomor konfirmasi XXXX. Saya menelepon PNC, di XXXX tentang tidak menerima nomor akun. Mereka tidak dapat menemukan akun saya menggunakan nomor konfirmasi atau nomor jaminan sosial saya. Mereka memiliki {$25.00} yang digunakan sebagai setoran awal.;1;0;0
13;Bank AS memiliki akun XXXX atas nama saya dan saya pikir Anda dapat menulis cek untuk akun XXXX untuk menyetorkannya ke akun lain, karena akun XXXX saya pikir memiliki perlindungan cerukan. XXXX tidak setuju dengan saya dan mengatakan bahwa saya adalah XXXX XXXX '' cek. Saya XXXX dan saya merasa dia melaporkan saya ke Chex Systems karena alasan yang buruk, mengingat bahwa saya bingung dan tidak tahu ini tidak diizinkan. Dia memanfaatkan XXXX saya.;1;0;0
14;Ada iRing dgn tarif Rp. 0,1/7hr (perpanjangan Rp. 3190/7hr) dari hits Armada - Pencuri Hati. Tekan *808*3*1*4*1# lalu OK/Call. Info: 100&111;0;1;0
15;Akhir bulan harus tetap eksis loh! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/fl;0;1;0
16;Saya pergi ke uang tunai dalam Sertifikat Deposito asli dari bank Premier / Chase yang dikeluarkan dalam XX / XX / XXXX. Saya telah menerima XXXX pada sertifikat melalui XXXX dan tidak ada setelahnya. Saya perhatikan bahwa pada XX / XX / XXXX XXXX, nol ditinggalkan dari nomor sertifikat. Chase mengklaim bahwa mereka tidak memiliki catatan sertifikat saya dan oleh karena itu tidak bertanggung jawab untuk mengembalikan penghasilan saya meskipun saya memiliki yang asli dan bagian belakangnya tidak pernah ditandatangani. Telah dikonfirmasi melalui properti yang tidak diklaim bahwa dana tersebut tidak pernah diserahkan kepada negara, oleh karena itu Chase masih memegang dana saya. Departemen eksekutif bank Chase mengklaim bahwa mereka tidak diharuskan untuk menyimpan catatan investasi saya selama 7 tahun terakhir jadi saya kehilangan uang saya meskipun sertifikat menyatakan secara otomatis dapat diperbarui dan tidak memiliki tanggal kedaluwarsa. Saya berasumsi uang saya menarik bunga selama bertahun-tahun karena ini adalah kata kerja langsung pada dokumen. Saya telah menjadi pelanggan Chase selama lebih dari 30 tahun dan selalu tinggal di Negara Bagian Louisiana. Menghubungi saya tidak pernah menjadi masalah. Orang tua saya saat ini tinggal di alamat yang tercantum pada dokumen. Saya telah melampirkan garis waktu terperinci bersama dengan pemindaian sertifikat, yang saya pegang aslinya, dan formulir XXXX. Seperti yang dapat Anda perhatikan di timeline, ini adalah proses yang sangat panjang, dan saya telah menghabiskan setiap jalan yang mungkin dengan Chase untuk mengambil dana investasi saya. Chase mengklaim bahwa dana tersebut ditinggalkan karena tidak ada aktivitas, namun dana tersebut tidak pernah diserahkan ke properti yang tidak diklaim. Saya yakin bahwa membeli cd investasi dirancang khusus untuk tidak disentuh untuk mencapai manfaat maksimal yang merupakan alasan tidak ada aktivitas dan dengan jelas menyatakan secara otomatis terbarukan ''. Jika memang Chase memutuskan dana ini ditinggalkan, pedoman apa yang harus mereka ikuti untuk menyerahkan dana tersebut sebagai tidak diklaim dan berapa tahun mereka harus menyimpan catatan? Apakah Chase tidak bertanggung jawab untuk memberi saya informasi tentang apa yang telah mereka lakukan dengan dana saya yang saya percayakan kepada mereka sebagai investasi? Apakah mereka diizinkan kehilangan uang seseorang dan tidak dimintai pertanggungjawaban?;1;0;0
17;Saya telah memiliki rekening giro di Suntrust Bank sejak XX / XX / XXXX. Saya memiliki setoran langsung masuk ke akun saya setiap bulan. Saya seorang XXXX. Saya memiliki properti sewaan XXXX. Penyewa XXXX membayar sewa dengan wesel, dan yang lainnya membayar dengan cek seseorang dari akun Suntrust-nya. Pada XXXX XXXX, saya menyetor wesel {$ 750,00} yang diberikan kepada saya oleh penyewa XXXX, dan hari berikutnya saya menyetor penyewa lain {$ 500,00} cek pribadi. Setoran XXXX muncul di saldo buku besar akun saya oleh XXXX / XXXX / XX / XX / XXXX. Penyewa yang memberi saya cek Suntrust sebesar {$500.00} telah menghentikan pembayaran pada XXXX, setelah saya menyetor karena suatu alasan. Suntrust kemudian menahan wesel {$ 750,00} sampai XXXX, memberi tahu saya bahwa mereka tidak dapat memverifikasi wesel tersebut. Saya memiliki salinan wesel dan menelepon XXXX XXXX dan diberitahu bahwa itu telah dibayar pada XXXX. Saya menelepon Suntrust di XXXX dan mereka tidak akan melepaskan penangguhan, dan kemudian memberi tahu saya bahwa akun saya ditutup karena aktivitas yang mencurigakan. Saya mengunjungi cabang Suntrust dan diberi tahu bahwa itu adalah pembayaran berhenti yang ditempatkan pada cek sewa {$ 500,00} yang diberikan penyewa saya yang mendorong akun saya ditutup, tetapi juga diberitahu bahwa ceknya adalah cek yang bagus. Saya diblokir dari akses akun online, dan seminggu sebelum batas waktu pajak XXXX, ini menyebabkan sakit kepala besar! Saya juga membayar tagihan online XXXX sepuluh hari dalam sebulan, dan pembayaran dikembalikan, biaya keterlambatan diterapkan, dan tidak ada alasan yang sah untuk wesel yang dibayar untuk ditahan selama waktu ini oleh Suntrust. Saya diberitahu berulang kali rhat saya akan menerima surat melalui pos yang menjelaskan mengapa Suntrust menutup akun saya. Surat itu datang XXXX, hanya menyatakan akun saya ditutup karena aktivitas penipuan, sesuai dengan aturan dan peraturan bank. Keputusan ini permanen dan saya akan menerima sisa dana di akun saya melalui pos dalam waktu 3 hari. Surat itu tertanggal XXXX/XXXX/XX/XX/2015. Tidak ada informasi atau permintaan maaf lain yang diberikan. Suntrust menempatkan saya dalam krisis keuangan. Dua minggu tanpa kartu debit / atm, tidak ada uang tunai, tagihan tidak dibayar, kreditor menelepon, tidak dapat mengambil tindakan terhadap penyewa tepat waktu, pajak penghasilan belum selesai, dan tidak ada jawaban mengapa semua ini terjadi.;1;0;0
18;Saya pergi ke Agen Pertanian Negara saya untuk melakukan beberapa bisnis. Pada saat saya berada di sana, saya memutuskan untuk membuka rekening bank. Setelah meninggalkan kantor agen saya yakin bahwa semuanya sudah selesai dan bahwa saya hanya menunggu kartu debit, slip setoran dan slip penarikan. Saya menerima informasi melalui surat bahwa akun tidak dapat dibuka. Ketika menelepon bank pertanian negara, saya diberitahu bahwa rekening tidak dapat dibuka di rekening bersama dan ditanya apakah saya masih ingin rekening dibuka. Saya menjawab wanita muda itu bahwa ya saya ingin membuka akun, (saya tidak tahu bahwa aplikasi baru sedang dilakukan). Dia memberi tahu saya bahwa saya perlu mengirimi mereka informasi verifikasi dan saya bertanya kepadanya bisakah saya mengirim email informasi itu kepadanya. Dia pada gilirannya mengatakan tidak bahwa itu perlu dikirim melalui faks. Saya mengatakan kepadanya bahwa saya akan membawanya ke XXXX bersama saya dan melihat apakah bank dapat mengirim faks kepadanya informasi itu karena saya tidak memiliki akses ke mesin faks. SAYA TIDAK MENGIRIM FAKS INFORMASI ITU KE STATE FARM. Pada XXXX XXXX, 2015 uang ditransfer ke bank State Farm dari rekening XXXX XXXX XXXX saya. Saya menghubungi State Farm Bank meminta agar uang itu dimasukkan kembali ke rekening saya karena saya mendapat kesan bahwa rekening itu tidak terbuka. Dalam upaya agar uang dikirim kembali ke akun saya hari ini, saya diberitahu bahwa tidak ada yang bisa dilakukan sampai mereka menerima verifikasi alamat. Sekali lagi saya mengatakan kepada mereka bahwa saya tidak memiliki akses ke mesin faks dan bahwa saya dapat memindai dan mengirim email kepada mereka informasi yang mereka butuhkan. Supervisor pada gilirannya menelepon dan mengatakan bahwa mereka tidak dapat menerimanya melalui email dan bahwa saya dapat pergi ke kantor pertanian negara dan mengirimkannya kepada mereka. Sekali lagi saya bertanya bagaimana dia mengusulkan saya pergi ke kantor agen lain ketika kendaraan saya tidak rusak. Saya juga memberi tahu mereka bahwa mereka mencuri uang saya dan saya menginginkannya segera kembali. Pertanyaan : JIKA SAYA TIDAK MENGIRIMKAN VERIFIKASI UNTUK AKUN PERTAMA, MENGAPA ANDA MEMBUKA AKUN KEDUA?;1;0;0
19;Aktifkan iRing Coboy Jr - Terhebat. Tekan *808*7#. Info: 100&111 Ada hits terbaru dari NOAH - Jika Engkau. Aktifkan iRing nya di HP kamu. Ketik MG NOAH02 kirim ke 808 Info: 100&111 Berkah iRing Rp 1000 dr Yuni Shara - Akhirnya. Aktifkan iRing nya;0;1;0
20;Ambil bonus harianmu di *600# (Bebas Pulsa). Dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu!;0;1;0
21;"Pada XXXX XXXX, saya memiliki XXXX biaya penipuan pada debit saya [memeriksa] acount. XXXX jatuh '' XXXX tetap, saya mengisi formulir, hari itu. Saya diberitahu 7 hari itu akan dikembalikan XXXX XXXX biaya tetap. Setelah 10 hari uang itu tidak dikembalikan, saya kemudian diberitahu bahwa itu adalah penipuan di luar negeri, formulir internasional lain akan diajukan, yang saya lakukan secepatnya. pada XXXX XXXX. Bank menuduh saya menggunakan situs ini sebelumnya dan kasusnya ditutup { ini adalah layanan kencan XXXX, saya hampir XXXX tahun. ] Saya tidak pernah melakukannya! rep. XXXX mengerikan bagi saya! Meskipun XXXX dari XXXX diurungkan, mereka memberi saya waktu yang mengerikan. Saya kemudian menjangkau cabang fri. XXXX. berbicara dengan manajer XXXX XXXX XXXX, dia akan mengembalikan uang XXXX ke akun saya. Tidak, Pada XXXX saya memeriksa ulang dan masih belum! mulai hari ini XXXX. Itu masih belum dikembalikan.
";1;0;0
22;"Pada XXXX XXXX, Wells Fargo mengizinkan tagihan tidak sah ini keluar dari rekening giro kami:XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX menelepon Wells Fargo segera dan juga memanggil nomor XXXX yang tercantum di atas. Ternyata itu adalah layanan pinjaman untuk pembiayaan XXXX XXXX - XXXX XXXX. XXXX XXXX meneliti biaya tersebut dan menemukan bahwa tagihan tersebut melalui ACH dan seharusnya merupakan pembayaran kepada mereka dari pelanggan mereka XXXX XXXX XXXX yang memiliki nomor rekening bank yang sama tetapi nomor perutean yang berbeda seperti yang kami lakukan. Kami melakukan panggilan konferensi tiga arah dengan Wells Fargo dan XXXX XXXX untuk menjelaskan masalahnya pada pagi yang sama kami menemukannya - XXXX XXXX. XXXX dari XXXX XXXX menjelaskan kepada Wells Fargo bahwa ini seharusnya tidak dibebankan ke akun kami, dan kami menjelaskannya, tetapi Wells Fargo menolak untuk bahkan memberi kami kredit sementara untuk sejumlah besar uang yang mereka izinkan untuk ditarik dari akun kami. XXXX hari kemudian, kami menelepon mereka hampir setiap hari dan masih belum ada pengembalian uang. Tolong bantu kami mendapatkan uang kami kembali. Ngomong-ngomong, kami telah memiliki akun dengan Wells Fargo selama lebih dari 15 tahun.
";1;0;0
23;Membuka akun di XXXX XXXX mengalami penipuan saat membantahnyaMereka bilang tidak ada masalah membuka saya akun baruRupanya mereka kemudian memutuskan baru dibuka segeraDan mereka menutupnya tanpa sepengetahuan sayaMereka juga mengajukan kartu kredit untuk saya Saya tidak mengizinkanAtau memintaSaya kemudian pergi ke bank lain untuk membuka akunDan diberitahu XXXX melaporkan saya untuk memeriksa sistemUntuk dugaan penipuan? Saya sudah mencoba untuk diperbaiki selama 5 tahun sekarang tidak bisa mendapatkan akun di mana pun!;1;0;0
24;Anda akan berlangganan paket Rp. 10000 utk 150 MB 2G/3G + 250 MB 3G/90hari. Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan. Paket diperpanjang pada akhir masa aktif dengan tarif sesuai lokasi Anda. Tunggu SMS konfirmasi sblm pemakaian. Info zona dan detail tarif lihat di Tsel.me/internet;1;0;0
25;Anda akan membeli Paket Gampang Internetan Rp.1250 utk Chatting Sepuasnya (BBM, WhatsApp dan Line)/1 hari.Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan.Tunggu SMS konfirmasi sblm pemakaian.Info detail tariff lihat di Tsel.me/internet ;0;1;0
26;Anda akan menerima setting ponsel, agar ponsel Anda dapat mengakses internet dan berkirim foto/MMS. Jika Anda setuju balas pesan ini (gratis) dengan ketik Y.;0;1;0
27;Anda akan mengaktifkan Paket BBM Gratis berlaku 30 hari dari pertama kali aktivasi. Ketik FLASH (spasi) YA untuk melanjutkan;0;1;0
28;Anda mendapatkan 1 kupon dalam program Kartu As BIBER (Beli Internet Berhadiah). Cek total kupon maksimal 1x24 jam dari skrg di *100*123#. Info lengkap hub:188;0;1;0
29;Anda sedang menikmati Paket Reguler dgn sisa kuota 209715 KB.Dapatkan beragam Paket INTERNET HEMAT Tri di *123*3#;0;1;0
30;Anda tidak terdaftar dalam layanan Paket Malam hari. Untuk berlangganan lakukan isi ulang dengan voucher Kenyang Download;0;1;0
31;Anda tlh menukarkan poin 95 poin, Tukarkan terus poinnya siapa tahu anda pemenang hadih LG G3 32gb, pemenang adalah yang menukarkan poin tertinggi s/d 30 November 15;0;1;0
32;AngpaoPoinSenyum! Dptkan Vchr Lottemart 50rb dg tukar 2500poin (normal 5000poin) sd 11Feb16. Ketik *123*7887*2*5# TERBATAS! Info: www.indosatooredoo.com/angpao;0;1;0
33;Awal bulan saat nya anda eksis lebih lama! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/FL;0;1;0
34;Ayam (sayap/paha bawah), Nasi, Perkedel Rp. 19.545. GRATIS Teh Pucuk. Tukar SMS ini di CFC HASAN SADIKIN hari ini. Selama Persediaan msh ada. Promo *606#;0;1;0
35;Ayo anak Medan, beli sticker line dengan pulsamu Caranya klik http://www.telkomsel.com/linestore nama stickernya : Kedan Medan;0;1;0
36;AYO download AXISnet dari Apple/Play Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 1GB 30hr dapat OBOR 5GB (00-06) Rp18800. Info838. LD335;0;1;0
37;AYO download AXISnet dari PLAY/Apple Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 3GB 60hr dapat OBOR 10GB (00-06) Rp39800. Info838. LD307;0;1;0
38;Ayo dukung pelestarian alam Indonesia bersama Indosat Ooredoo dan WWF-Indonesia dg berdonasi melalui *123*50# dari nomor Indosat Ooredoo.;0;1;0
39;Ayo kawal pemanfaatan subsidi BBM & Kompensasi bagi yang berhak! Pengaduan, ketik BBM (spasi) isi pesan. Kirim 1708;0;1;0
40;BANTING HARGA !! Internetan dgn Kuota 1,5GB HANYA 10rb Rupiah, paket Berlaku sebulan. Mau?? Ketik YA ke 919 s/d 16 Desember 2015;0;1;0
41;BEBAS ekspresikan dirimu bersama Paket Freedom Combo dari Indosat Ooredoo. Segera hub *123# atau www.indosatooredoo.com/freedom;0;1;0
42;Bebas Pulsa! Ambil bonusmu di *600# (GRATIS). Dptkan gratis nelpon atau internetas atau promo lainnya sesuai hobimu!;0;1;0
43;Beli 1 Gratis 1 untuk Lychee Tea atau Latte Flavour dari Yellow Truck Jl.Patuha No.29. Tukarkan SMS ini. Hanya berlaku untuk hari ini, S&K Berlaku.Promo *606#;0;1;0
44;Beli 2 Gratis 1 atau beli 1 Diskon 25% tiket Kampung Gajah Wonderland Bandung s.d 31 Mei 2013. Tunjukkan SMS kpd Petugas .Info: www.indosat.com/kampunggajah;0;1;0
45;Beli 6 Gratis 6 Donut dari DUNKIN DONUTS BORMA SETIABUDHI. Tukarkan SMS ini segera. Hanya berlaku untuk hari ini. Selama persediaan masih ada. Promo *606#;0;1;0
46;Beli paket Turbo mulai 50rb utk pembelian pertama di MyTelkomsel App sjk 25Aug - 25Sept dpt EXTRA PULSA TSEL Rp 50rb loh! Cek detail paket di tsel.me/mytsel1;0;1;0
47;Bisa Internetan 1,5GB CUMA dengan 20rb, paket berlaku 90 hari. MAU?? Ketik YA ke 919. Penawaran berlaku s/d 8 Januari 2016;0;1;0
48;BONUS KUOTA 500MB (1hr)! Cukup isi ulang min. 5,000 hari ini! Ayo buruan isi pulsa sekarang juga. T514;0;1;0
49;BONUS PULSA 10RB! Ayo isi pulsa min. 5rb & dapetkan bonus pulsa 10rb utk nelp ke nmr Tri! Hanya hari ini saja! Ayo buruan isi pulsa! T530;0;1;0
50;BONUS PULSA 50% dari Indosat Ooredoo, MAU?? Ketik *345# dan call dari HP kamu sebelum 28 April 2016;0;1;0
51;BONUS PULSA 50rb cuma dgn isi ulang 25rb!! Hny Indosat yg bisa begini. Penawaran berlaku s/d 11 April 2016. Bonus 1x utk digunakan ke sesama Indosat Ooredoo;0;1;0
52;BONUS PULSA Rp 100 rb..!! Spesial untuk kamu pelanggan setia Indosat Ooredo.Hanya dengan isi ulang Rp150rb skrg juga! Penawaran berlaku s.d 13 Jan 2016 (bonus hanya 1x);0;1;0
53;BONUS Rp. 5,000 untuk kamu! Cukup kirim SMS 2X hari ini untuk mendapatkan bonusnya, khusus hari ini saja!  T483;0;1;0
54;BONUS Rp. 5,000 untuk kamu! Cukup telpon teman kamu selama 2 menit hari ini untuk mendapatkan bonusnya, khusus hari ini saja!  A010;0;1;0
55;Buktikan hematnya pakai argo tetap di Bandung dengan GrabCar hingga 20%. Hayu ajakan rerencangan sareng buktikeun nyalira!;0;1;0
56;Buruan Download & Registrasi myCare di http://bit.ly/mycarepLy dan dapatkan Promo 10GB (4G) di Paket Freedoom M & L dengan harga khusus HANYA HARI INI.;0;1;0
57;Butuh Piknik?Ada nih liburan GRATIS ke Hongkong!Cara:Pake pulsa AXIS di HP Androidmu buat transaksi sebanyak2nya items Pokemon Go,BIGO,COC, dll!Info838 LD328;0;1;0
58;Buy 2 Get 3 tiket Trans Studio Bandung,mulai 14 Mei-14Juni 2013.Tunjukkan SMS ke petugas di lokasi. Info: www.indosat.com/transstudiobgd;0;1;0
59;cuma Rp 7500 dapat nelpon dan SMS UNLIMITED ke sesama Indosat Ooredoo   internetan sepuasnya 3 hari dengan paket Ramadhan Unlimited. ketik *123*88#;0;1;0
60;Dapatkan BONUS PULSA hg 50rb jika isi ulang di hari Minggu, isi ulang mulai dr 10rb. Ktk: GRATIS krm ke 123. Panduan: ketik PAN krm ke123. Cek bonus tekan*555*3#;0;1;0
61;Dapatkan Bonus SMS Kamu. Hanya dg kirim SMS, Kamu akan dapat Bonus Ratusan SMS ke semua operator. Pakai terus Indosat Ooredoo & raih kebebasan berkomunikasi;0;1;0
62;Dapatkan Disc 20% di McDonalds khusus utk pembayaran dgn TCASH TAP!Dptkan stiker TCASH TAP di graPARI terdekat. Info tsel.me/tappromo;0;1;0
63;Dapatkan Disc.30% utk Dominos PAN PIZZA!Roti yg lebih tebal dgn keju terasa sampai pinggir!Mulai Rp45500.Kunjungi toko terdekat/telf 1500366/Klik panpizza.co.id;0;1;0
64;Dapatkan EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr dg beli paket FLASH mulai 1GB di MY TELKOMSEL APP. Buruan, cek  di tsel.me/mytsel1 S&K;0;1;0
65;Dapatkan GRATIS 1 cappuccino (hot/ice) & Freza, setiap transaksi min Rp75Rb di EXCELSO Cafe Semarang, Yogya, Solo sd 9 Agust 13. Tunjukkan SMS kpd petugas;0;1;0
66;Dapatkan GRATIS Wendy's Crispy Chicken Sandwich dengan minimal pembelian Rp.100.000. Tukarkan SMS ini di Wendy's terdekat! Persediaan terbatas. Promo *606#;0;1;0
67;Dapatkan saldo bermain sebesar Rp 125rb hanya dengan bayar Rp 75rb. Berlaku hari Senin-Kamis. Tukarkan SMS ini segera di Timezone terdekat! Promo *606#;0;1;0
68;Dapatkan voucher Cipika Rp 100rb utk belanja kuliner, gadget, fashion, dll. Tkn *123*45# pilih Cipika, GRATIS & terbatas. Info: www.indosatooredoo.com/12345;0;1;0
69;Dear Customer, Kindly values your experience at Telkomsel Service, score between 1(very poor) to 5 (excellent), send SMS to 1166 (FREE) (for int'l charged);0;1;0
70;Disc.25%  Domino's Pizza Value Range s/d 14 Agustus.Kunjungi store terdekat/hubungi 1500366/visit http://bit.ly/294KoZ6 Kode:VR25D;0;1;0
71;DISKON 30RIBU khusus pelanggan baru Grab di Bandung. Berlaku 3x: kode promo URANGBANDUNG. Tak usah repot jalanan macet dan susah parkir, Hayu ngeGrab we atuh!;0;1;0
72;DISKON 50% kuota NELPON++ 20 MENIT ke smua operator! Cuma Rp7rb (Normal Rp14rb) dg masa aktif panjang. Balas SMS ini dgn ketik Tri. Hanya HARI INI! V712;0;1;0
73;"DISKON 50% utk Kacamata Lengkap + Bonus Kacamata Hitam, Tunjukan SMS ini di JL Gatot Soebroto 88 T.7333812. S&amp;K Berlaku.Promo*606#";0;1;0
74;Domino's PAN PIZZA!Rotinya lebih tebal dgn keju terasa sampai pinggir! Nikmati Disc.30% dimulai Rp45.500.Kunjungi toko terdekat/telf 1500366/Klik panpizza.co.id;0;1;0
75;DOUBLE kuota internet plus UNLIMITED Telpon dan SMS dengan Paket Freedom Combo dari Indosat Ooredoo. Segera hub *123# atau www.indosatooredoo.com/freedom;0;1;0
76;Download dan rasakan serunya game-game premium pilihan hanya di *900#;0;1;0
77;Dptkn Free member card Larissa Aesthetic Center, disc 15% high treatment & asuransi jiwa, tiap isi ulang pulsa Rp 100rb di Galeri Indosat Jateng DIY s.d 31Des 13;0;1;0
